N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
101,TIGER 200,"31,375",190,+0.61%,0,"23,155","73,800",2.06,"4,391,532",N/A,N/A,
102,KODEX 레버리지,"15,000",180,+1.21%,0,"22,890","152,600",1.52,"119,397,700",N/A,N/A,
103,메리츠증권,"3,350",15,-0.45%,"1,000","22,645","675,962",12.57,"1,048,031",4.56,15.06,
104,CJ,"77,200",0,0.00%,"5,000","22,525","29,177",18.71,"70,170",15.00,6.24,
105,GS건설,"28,100",450,-1.58%,"5,000","22,507","80,098",27.89,"431,320",5.89,11.79,
106,두산퓨얼셀,"40,450","1,350",-3.23%,100,"22,447","55,494",10.60,"1,469,863",62.81,N/A,
107,삼성엔지니어링,"11,250",250,-2.17%,"5,000","22,050","196,000",28.20,"3,417,123",8.53,24.62,
108,KODEX 200선물인버스2X,"4,065",50,-1.22%,0,"21,805","536,400",1.07,"293,233,163",N/A,N/A,
109,한국항공우주,"22,150",0,0.00%,"5,000","21,591","97,475",14.23,"223,986",13.82,15.84,
110,현대해상,"24,100",850,-3.41%,500,"21,545","89,400",40.85,"305,109",7.08,6.23,
111,BGF리테일,"123,500",0,0.00%,"1,000","21,346","17,284",31.03,"18,128",16.48,26.46,
112,신세계,"212,000","1,000",+0.47%,"5,000","20,872","9,845",25.23,"44,916",-7.81,14.24,
113,일진머티리얼즈,"44,100",100,+0.23%,500,"20,335","46,111",7.79,"273,781",39.91,8.52,
114,KODEX 단기채권,"102,555",5,0.00%,0,"20,317","19,811",3.03,"11,620",N/A,N/A,
115,오뚜기,"543,000","2,000",+0.37%,"5,000","19,939","3,672",17.05,"4,571",15.51,7.79,
116,현대차우,"79,600",0,0.00%,"5,000","19,388","24,357",54.69,"49,896",11.47,N/A,
117,팬오션,"3,520",100,-2.76%,"1,000","18,817","534,570",11.68,"3,116,692",12.75,5.49,
118,BNK금융지주,"5,750",80,-1.37%,"5,000","18,741","325,935",46.69,"995,154",3.59,7.07,
119,한화,"24,600",650,-2.57%,"5,000","18,440","74,959",18.97,"463,338",12.89,2.09,
120,종근당,"167,000","3,000",+1.83%,"2,500","18,179","10,886",14.15,"95,486",23.96,11.94,
121,농심,"296,500","9,000",+3.13%,"5,000","18,035","6,083",19.24,"32,660",14.75,3.72,
122,두산인프라코어,"8,360",130,-1.53%,"5,000","17,945","214,651",3.73,"3,001,163",12.69,11.59,
123,만도,"37,650",950,-2.46%,"1,000","17,679","46,957",22.56,"844,582",-42.69,7.55,
124,한올바이오파마,"33,500","1,550",+4.85%,500,"17,501","52,241",6.54,"827,282",81.51,14.90,
125,현대로템,"15,900",550,+3.58%,"5,000","17,354","109,142",3.53,"3,385,287",-4.77,-37.93,
126,씨에스윈드,"98,700","10,800",-9.86%,500,"17,061","17,286",8.43,"1,698,787",40.40,9.92,
127,한솔케미칼,"150,500","3,500",+2.38%,"5,000","16,999","11,295",34.23,"47,362",16.36,20.88,
128,LS,"52,300","3,000",-5.42%,"5,000","16,841","32,200",11.78,"374,652",-38.71,0.80,
129,포스코인터내셔널,"13,550",50,+0.37%,"5,000","16,717","123,375",15.45,"274,190",9.33,7.06,
130,녹십자홀딩스,"35,000","8,050",+29.87%,500,"16,460","47,028",6.51,"13,725,612",49.72,0.37,
131,메리츠화재,"14,300",350,-2.39%,500,"16,256","113,680",11.18,"279,806",4.62,12.80,
132,현대엘리베이,"39,550","1,550",+4.08%,"5,000","16,142","40,815",25.34,"1,049,786",27.33,5.22,
133,효성,"76,200",100,+0.13%,"5,000","16,056","21,071",5.55,"57,629",58.80,4.25,
134,KODEX 삼성그룹,"7,795",50,+0.65%,0,"15,847","203,300",0.02,"482,266",N/A,N/A,
135,DB하이텍,"35,500","2,600",+7.90%,"5,000","15,761","44,399",29.05,"1,628,769",9.72,17.40,
136,부광약품,"24,300",100,-0.41%,500,"15,756","64,838",7.76,"491,881",565.12,-2.00,
137,LS ELECTRIC,"50,000","1,500",-2.91%,"5,000","15,000","30,000",13.58,"185,349",15.43,7.82,
138,LG생활건강우,"698,000",0,0.00%,"5,000","14,656","2,100",86.43,"2,837",15.92,N/A,
139,KODEX 종합채권(AA-이상)액티브,"110,325",5,0.00%,0,"14,311","12,972",0.00,"7,923",N/A,N/A,
140,한국테크놀로지그룹,"15,350",100,-0.65%,500,"14,279","93,020",6.37,"236,576",11.36,4.71,
141,KCC,"160,500",500,-0.31%,"5,000","14,263","8,886",12.03,"42,411",-677.22,-4.37,
142,현대백화점,"60,900","1,200",-1.93%,"5,000","14,252","23,402",15.24,"184,963",11.27,4.64,
143,OCI,"59,700","5,400",-8.29%,"5,000","14,238","23,849",16.40,"1,272,258",-1.76,-26.20,
144,F&F,"92,000",100,-0.11%,500,"14,168","15,400",11.40,"31,419",13.78,25.13,
145,한화생명,"1,610",10,-0.62%,"5,000","13,983","868,530",7.45,"4,479,559",8.30,0.51,
146,NHN,"70,900",600,+0.85%,500,"13,872","19,565",11.15,"54,196",54.00,0.78,
147,대웅,"23,850",300,+1.27%,500,"13,867","58,142",7.77,"220,949",29.81,10.43,
